Fecha,CAPITAL,CUPRUM,HABITAT,MODELO,PLANVITAL,PROVIDA,UNO
1/1/2020,44.7326,51.79266,51.07798,49.34671,89.42348,44.13357,50.19521
1/2/2020,44.80134,51.85754,51.15462,49.43393,89.55696,44.19239,50.27545
1/3/2020,45.20904,52.32037,51.59648,49.89299,90.35522,44.59192,50.74401
1/4/2020,45.20904,52.32037,51.59648,49.89299,90.35522,44.59192,50.74401
1/5/2020,45.20904,52.32037,51.59648,49.89299,90.35522,44.59192,50.74401
1/6/2020,45.33995,52.45,51.76189,50.02114,90.64099,44.71789,50.86761
1/7/2020,45.595,52.73495,52.03279,50.2926,91.14992,44.96461,51.16126
1/8/2020,45.72633,52.87525,52.179,50.4173,91.39597,45.08396,51.22241
1/9/2020,45.54688,52.66514,51.9735,50.22626,91.01321,44.90458,51.02026
1/10/2020,45.62143,52.75306,52.06076,50.29549,91.15519,44.97794,51.08043
1/11/2020,45.62143,52.75306,52.06076,50.29549,91.15519,44.97794,51.08043
1/12/2020,45.62143,52.75306,52.06076,50.29549,91.15519,44.97794,51.08043
1/13/2020,45.7498,52.91147,52.24089,50.43264,91.41011,45.09496,51.21919
1/14/2020,46.02473,53.22883,52.54132,50.74254,91.95065,45.3647,51.5172
1/15/2020,45.88829,53.08365,52.40482,50.5954,91.68912,45.23874,51.47384
1/16/2020,45.84594,53.05424,52.36235,50.55536,91.65042,45.20316,51.43938
1/17/2020,45.99475,53.22613,52.51546,50.71618,91.94231,45.34196,51.60327
1/18/2020,45.99475,53.22613,52.51546,50.71618,91.94231,45.34196,51.60327
1/19/2020,45.99475,53.22613,52.51546,50.71618,91.94231,45.34196,51.60327
1/20/2020,46.10654,53.34787,52.6271,50.8317,92.15313,45.45845,51.6927
1/21/2020,46.10785,53.35069,52.63778,50.82354,92.16037,45.46731,51.69183
1/22/2020,45.83568,53.03795,52.36623,50.54641,91.66875,45.19238,51.38122
1/23/2020,45.86335,53.07131,52.39493,50.55811,91.69929,45.21194,51.39259
1/24/2020,45.65537,52.83897,52.15957,50.33295,91.28649,45.0071,51.17905
1/25/2020,45.65537,52.83897,52.15957,50.33295,91.28649,45.0071,51.17905
1/26/2020,45.65537,52.83897,52.15957,50.33295,91.28649,45.0071,51.17905
1/27/2020,45.72527,52.90227,52.23745,50.3819,91.38967,45.06803,51.20513
1/28/2020,45.67564,52.85816,52.20091,50.29812,91.33876,45.03334,51.22651
1/29/2020,45.7702,52.96988,52.29864,50.4162,91.49103,45.131,51.30237
1/30/2020,45.71234,52.91395,52.24614,50.366,91.37619,45.07215,51.19374
1/31/2020,45.71384,52.92874,52.27519,50.37081,91.39007,45.05913,51.24784
2/1/2020,45.71384,52.92874,52.27519,50.37081,91.39007,45.05913,51.24784
2/2/2020,45.71384,52.92874,52.27519,50.37081,91.39007,45.05913,51.24784
2/3/2020,45.63927,52.84642,52.18337,50.25338,91.25242,44.98677,51.1389
2/4/2020,45.40875,52.56477,51.89551,49.97747,90.75703,44.75458,50.88875
2/5/2020,45.54979,52.72962,52.05666,50.14758,91.02227,44.8899,51.02708
2/6/2020,45.58003,52.77247,52.09337,50.1898,91.09917,44.92771,51.10036
2/7/2020,45.71315,52.93332,52.24603,50.3659,91.35976,45.06334,51.25443
2/8/2020,45.71315,52.93332,52.24603,50.3659,91.35976,45.06334,51.25443
2/9/2020,45.71315,52.93332,52.24603,50.3659,91.35976,45.06334,51.25443
2/10/2020,45.82374,53.04722,52.36969,50.47168,91.55982,45.17094,51.35556
2/11/2020,45.93953,53.16986,52.50757,50.56576,91.77722,45.27021,51.48001
2/12/2020,45.96673,53.2103,52.54099,50.58144,91.81608,45.30094,51.48869
2/13/2020,45.98988,53.24096,52.57009,50.61386,91.86536,45.32953,51.49965
2/14/2020,46.02304,53.28385,52.62424,50.64403,91.92726,45.36237,51.5279
2/15/2020,46.02304,53.28385,52.62424,50.64403,91.92726,45.36237,51.5279
2/16/2020,46.02304,53.28385,52.62424,50.64403,91.92726,45.36237,51.5279
2/17/2020,45.93065,53.18331,52.52057,50.53614,91.72292,45.2639,51.41866
2/18/2020,45.90291,53.1404,52.49114,50.50653,91.67271,45.23965,51.40495
2/19/2020,45.73196,52.94599,52.30366,50.29833,91.3216,45.07003,51.20053
2/20/2020,45.66374,52.86242,52.24017,50.23704,91.16666,44.99424,51.11266
2/21/2020,45.57689,52.74028,52.15401,50.10794,90.98675,44.88186,51.00666
2/22/2020,45.57689,52.74028,52.15401,50.10794,90.98675,44.88186,51.00666
2/23/2020,45.57689,52.74028,52.15401,50.10794,90.98675,44.88186,51.00666
2/24/2020,45.45723,52.58502,52.0364,49.96014,90.72541,44.74963,50.85699
2/25/2020,45.09218,52.16731,51.65884,49.56302,90.01476,44.40874,50.45757
2/26/2020,44.93731,52.00287,51.48589,49.40007,89.75151,44.27383,50.27757
2/27/2020,44.70168,51.74097,51.21083,49.14097,89.26536,44.04672,50.1162
2/28/2020,44.22589,51.16388,50.71232,48.6202,88.37082,43.57603,49.63575
2/29/2020,44.22589,51.16388,50.71232,48.6202,88.37082,43.57603,49.63575
