Fecha,CAPITAL,CUPRUM,HABITAT,MODELO,PLANVITAL,PROVIDA,UNO
1/1/2018,37.75379,39.73749,36.15733,40.08108,61.88107,36.09892,
1/2/2018,37.79016,39.77646,36.19306,40.11742,61.94346,36.13524,
1/3/2018,37.79308,39.76234,36.18927,40.12136,61.94872,36.12731,
1/4/2018,37.81027,39.77351,36.20659,40.12461,61.97286,36.1392,
1/5/2018,37.79163,39.76157,36.19053,40.10268,61.93883,36.11973,
1/6/2018,37.79163,39.76157,36.19053,40.10268,61.93883,36.11973,
1/7/2018,37.79163,39.76157,36.19053,40.10268,61.93883,36.11973,
1/8/2018,37.84189,39.80421,36.23588,40.14385,62.02441,36.15571,
1/9/2018,37.84364,39.80682,36.23856,40.1453,62.01287,36.15672,
1/10/2018,37.8463,39.81958,36.24723,40.16169,62.02191,36.16276,
1/11/2018,37.75217,39.72408,36.1517,40.05496,61.87184,36.06159,
1/12/2018,37.75144,39.72171,36.15824,40.06258,61.87749,36.06419,
1/13/2018,37.75144,39.72171,36.15824,40.06258,61.87749,36.06419,
1/14/2018,37.75144,39.72171,36.15824,40.06258,61.87749,36.06419,
1/15/2018,37.77521,39.73176,36.17381,40.09204,61.90695,36.07865,
1/16/2018,37.77521,39.73176,36.17381,40.09204,61.90695,36.07865,
1/17/2018,37.79373,39.74856,36.19258,40.10857,61.93913,36.09407,
1/18/2018,37.88441,39.84123,36.28311,40.20914,62.08714,36.18201,
1/19/2018,37.89012,39.84119,36.28304,40.19939,62.08574,36.18053,
1/20/2018,37.89012,39.84119,36.28304,40.19939,62.08574,36.18053,
1/21/2018,37.89012,39.84119,36.28304,40.19939,62.08574,36.18053,
1/22/2018,37.90317,39.85759,36.30054,40.21364,62.10699,36.19147,
1/23/2018,37.90831,39.85249,36.3082,40.21846,62.11715,36.19151,
1/24/2018,37.94526,39.89114,36.33963,40.26249,62.18663,36.22836,
1/25/2018,37.95992,39.9001,36.36032,40.28048,62.20563,36.2485,
1/26/2018,38.01049,39.9421,36.40234,40.34073,62.28591,36.29477,
1/27/2018,38.01049,39.9421,36.40234,40.34073,62.28591,36.29477,
1/28/2018,38.01049,39.9421,36.40234,40.34073,62.28591,36.29477,
1/29/2018,38.02696,39.95397,36.42722,40.35413,62.32575,36.31965,
1/30/2018,37.99435,39.9354,36.3878,40.31567,62.2726,36.28626,
1/31/2018,37.96365,39.91162,36.36503,40.28661,62.23169,36.25762,
2/1/2018,37.95256,39.89812,36.35636,40.27177,62.2101,36.24225,
2/2/2018,37.94205,39.8679,36.33323,40.25077,62.17274,36.21981,
2/3/2018,37.94205,39.8679,36.33323,40.25077,62.17274,36.21981,
2/4/2018,37.94205,39.8679,36.33323,40.25077,62.17274,36.21981,
2/5/2018,37.87718,39.81732,36.26427,40.19626,62.06058,36.15271,
2/6/2018,37.82072,39.77763,36.2092,40.14959,61.96954,36.10534,
2/7/2018,37.86578,39.82318,36.25564,40.18626,62.04139,36.15584,
2/8/2018,37.82651,39.77731,36.21413,40.15326,61.96919,36.12015,
2/9/2018,37.87816,39.83622,36.26623,40.18692,62.05769,36.15532,
2/10/2018,37.87816,39.83622,36.26623,40.18692,62.05769,36.15532,
2/11/2018,37.87816,39.83622,36.26623,40.18692,62.05769,36.15532,
2/12/2018,37.90351,39.86065,36.29956,40.21047,62.11082,36.18683,
2/13/2018,37.90221,39.84992,36.30185,40.20662,62.11175,36.18477,
2/14/2018,37.91893,39.85808,36.30561,40.21723,62.13788,36.19299,
2/15/2018,37.96804,39.901,36.34704,40.25859,62.21005,36.2369,
2/16/2018,37.96471,39.89416,36.34034,40.2438,62.19989,36.23002,
2/17/2018,37.96471,39.89416,36.34034,40.2438,62.19989,36.23002,
2/18/2018,37.96471,39.89416,36.34034,40.2438,62.19989,36.23002,
2/19/2018,37.98972,39.91695,36.36571,40.264,62.23545,36.25451,
2/20/2018,38.02263,39.95786,36.40021,40.29307,62.28975,36.28733,
2/21/2018,38.04805,39.98476,36.42967,40.31314,62.3295,36.31539,
2/22/2018,38.08533,40.02974,36.46682,40.336,62.3814,36.35549,
2/23/2018,38.09765,40.03425,36.48267,40.34258,62.39626,36.36183,
2/24/2018,38.09765,40.03425,36.48267,40.34258,62.39626,36.36183,
2/25/2018,38.09765,40.03425,36.48267,40.34258,62.39626,36.36183,
2/26/2018,38.1177,40.04575,36.49704,40.36348,62.42289,36.37811,
2/27/2018,38.12717,40.05061,36.49299,40.37554,62.42776,36.38704,
2/28/2018,38.0799,40.01398,36.44754,40.33306,62.35068,36.33958,
3/1/2018,38.08447,40.01508,36.45239,40.33215,62.36097,36.34301,
3/2/2018,38.0966,40.02398,36.47337,40.34857,62.38463,36.35453,
3/3/2018,38.0966,40.02398,36.47337,40.34857,62.38463,36.35453,
3/4/2018,38.0966,40.02398,36.47337,40.34857,62.38463,36.35453,
3/5/2018,38.12752,40.049,36.50163,40.382,62.43661,36.38144,
3/6/2018,38.14655,40.07677,36.51503,40.3996,62.45998,36.39546,
3/7/2018,38.14166,40.06923,36.49715,40.37852,62.4406,36.38292,
3/8/2018,38.15399,40.08989,36.51222,40.39525,62.47669,36.39419,
3/9/2018,38.11487,40.04232,36.47244,40.36182,62.39891,36.35359,
3/10/2018,38.11487,40.04232,36.47244,40.36182,62.39891,36.35359,
3/11/2018,38.11487,40.04232,36.47244,40.36182,62.39891,36.35359,
3/12/2018,38.11153,40.03368,36.46289,40.36685,62.37864,36.35058,
3/13/2018,38.18069,40.11252,36.53311,40.43076,62.49513,36.42193,
3/14/2018,38.1877,40.11692,36.54622,40.44543,62.51959,36.43413,
3/15/2018,38.20115,40.12869,36.5537,40.46034,62.54145,36.45323,
3/16/2018,38.22804,40.15818,36.57871,40.49346,62.58966,36.48341,
3/17/2018,38.22804,40.15818,36.57871,40.49346,62.58966,36.48341,
3/18/2018,38.22804,40.15818,36.57871,40.49346,62.58966,36.48341,
3/19/2018,38.28367,40.22275,36.63276,40.54778,62.68382,36.52953,
3/20/2018,38.28374,40.21566,36.63496,40.54059,62.6869,36.52646,
3/21/2018,38.258,40.18698,36.6209,40.51885,62.64228,36.50001,
3/22/2018,38.23755,40.16421,36.59416,40.48877,62.60091,36.48113,
3/23/2018,38.22417,40.15766,36.58059,40.48409,62.58689,36.47283,
3/24/2018,38.22417,40.15766,36.58059,40.48409,62.58689,36.47283,
3/25/2018,38.22417,40.15766,36.58059,40.48409,62.58689,36.47283,
3/26/2018,38.24901,40.17876,36.60883,40.51439,62.62261,36.49517,
3/27/2018,38.29694,40.21914,36.64785,40.55324,62.68305,36.53368,
3/28/2018,38.31882,40.25388,36.67393,40.59298,62.71597,36.56041,
3/29/2018,38.36466,40.29615,36.71573,40.62881,62.7846,36.60767,
3/30/2018,38.36466,40.29615,36.71573,40.62881,62.7846,36.60767,
3/31/2018,38.36466,40.29615,36.71573,40.62881,62.7846,36.60767,
4/1/2018,38.36466,40.29615,36.71573,40.62881,62.7846,36.60767,
4/2/2018,38.40304,40.32287,36.73812,40.64716,62.83231,36.63593,
4/3/2018,38.39057,40.31799,36.72828,40.64116,62.82047,36.62314,
4/4/2018,38.40954,40.32703,36.75316,40.65761,62.85725,36.64346,
4/5/2018,38.46383,40.39394,36.80777,40.70974,62.95025,36.70039,
4/6/2018,38.48956,40.4239,36.83281,40.73531,62.99537,36.72409,
4/7/2018,38.48956,40.4239,36.83281,40.73531,62.99537,36.72409,
4/8/2018,38.48956,40.4239,36.83281,40.73531,62.99537,36.72409,
4/9/2018,38.45821,40.38589,36.8052,40.70538,62.94044,36.68914,
4/10/2018,38.47479,40.4046,36.81819,40.72617,62.96823,36.70485,
4/11/2018,38.51941,40.45431,36.86267,40.76174,63.03707,36.7571,
4/12/2018,38.52888,40.46088,36.87413,40.77297,63.05111,36.76723,
4/13/2018,38.54826,40.47225,36.89477,40.78391,63.08198,36.78593,
4/14/2018,38.54826,40.47225,36.89477,40.78391,63.08198,36.78593,
4/15/2018,38.54826,40.47225,36.89477,40.78391,63.08198,36.78593,
4/16/2018,38.55088,40.47413,36.89533,40.78998,63.08324,36.7835,
4/17/2018,38.54013,40.45339,36.88615,40.78312,63.06494,36.76784,
4/18/2018,38.57177,40.49278,36.91816,40.81375,63.12017,36.8035,
4/19/2018,38.58421,40.50775,36.92995,40.82259,63.14276,36.8168,
4/20/2018,38.57723,40.50317,36.91787,40.81602,63.13167,36.80075,
4/21/2018,38.57723,40.50317,36.91787,40.81602,63.13167,36.80075,
4/22/2018,38.57723,40.50317,36.91787,40.81602,63.13167,36.80075,
4/23/2018,38.56,40.48718,36.90948,40.80282,63.11018,36.78266,
4/24/2018,38.54518,40.47342,36.89524,40.79042,63.08319,36.7661,
4/25/2018,38.47297,40.38463,36.81834,40.72764,62.94377,36.68265,
4/26/2018,38.38589,40.28026,36.73672,40.65348,62.80022,36.59371,
4/27/2018,38.43746,40.33523,36.79374,40.71456,62.88532,36.64377,
